tStock,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
commonEq,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
commonEq,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
assetLiabDiffPlug,77979.42,102506.27,127374.00,152572.78,178071.23,203879.50,230008.80,256471.58
cumTranslAdj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
unrealizedGainLossMktSec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
netIncome,16162.21,10393.99,4196.13,-1505.67,-5618.99,-10268.44,-15517.05,-21435.46
dNA,22013.96,22234.10,22456.44,22681.01,22907.82,23136.89,23368.26,23601.94
acctsRecDelta,-543.00,-554.33,-565.42,-576.72,-588.26,-600.02,-612.02,-624.26
otherCurrAssetsDelta,-256.00,-261.34,-266.57,-271.90,-277.34,-282.89,-288.55,-294.32
aPDelta,-371.20,-389.76,-409.25,-429.71,-451.20,-473.76,-497.44,-522.32
otherCurrLiabDelta,-336.64,-340.01,-343.41,-346.84,-350.31,-353.81,-357.35,-360.92
disposalFixedAssets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Capex,54050.45,36699.53,30878.13,25543.66,21767.03,17465.14,12576.08,7030.43
increaseInvestments,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
decreaseInvestments,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
purchaseInvSecurities,2333.00,2380.01,2427.61,2476.16,2525.68,2576.20,2627.72,2680.27
otherInvestingActivities,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
cashfromInvestingActivities,2333.34,2380.01,2427.61,2476.16,2525.68,2576.20,2627.72,2680.27
freeCashFlow,90402.19,67578.38,55863.78,45123.34,37498.93,28824.46,18976.18,7815.40
shortTermBorrowingDelta,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
increaseLongTermBorrowings,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
netIncreaseShortTermLoansPayable,371.20,389.76,409.25,429.71,451.20,473.76,497.44,522.32
DecreaseLongTermBorrowings,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IncreaseCapitalStocks,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DecreaseCapitalStocks=[0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
otherFinancingActivities,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
cashFinancingActivities,371.20,389.76,409.25,429.71,451.20,473.76,497.44,522.32
NetChangesCash,39427.48,34038.37,28231.75,22915.26,19159.97,14883.02,10022.71,4509.88
taxes,3020.00,3080.00,3141.00,3173.00,3205.00,3237.00,3269.00,3302.00
sharesOut,332.90,333.00,333.00,333.00,333.00,333.00,333.00,333.00
earningsPerShare,58.68,60.31,63.46,67.14,71.61,82.32,94.24,107.49
